campaign,adset,ad_name,spend,impressions,clicks,link_clicks,lpv,atc,purchases,revenue,roas,cpa,ctr,cvr_click2buy
매거진 구매_캠페인,매거진 구매_세트,260814_칼륨_짠음식 먹은 다음날,3733,110,1,1,1,0,0,0,0.0,,0.0091,0.0
생애 첫 구매 붓기_캠페인,생애 첫 구매_세트,260814_생애첫구매_고냥이,618845,17013,345,329,767,52,19,541107,0.874,32571,0.0193,0.0578
260421_칼륨 전환값_캠페인,260421_칼륨 전환값_세트,260814_칼륨ver2_붓기만큼 가격도,168795,2499,53,50,48,2,1,68000,0.403,168795,0.02,0.02
생애 첫 구매 붓기_캠페인,생애 첫 구매_세트,260814_생애첫구매_보정어플,143812,3350,65,61,52,6,2,35000,0.243,71906,0.0182,0.0328
260612_설문조사_캠페인,260612_설문조사_세트,260814_설문조사_헤어지자고,3881,72,1,1,1,0,0,0,0.0,,0.0139,0.0
260612_설문조사_캠페인,260612_설문조사_세트,260814_설문조사_트렌디한 붓기제거,42065,601,9,9,7,1,0,0,0.0,,0.015,0.0
260817_마그네슘 이벤트_캠페인,260817_마그네슘 이벤트_세트,260817_마그네슘 이벤트_53% 얼음,271117,5147,52,50,44,3,1,169700,0.626,271117,0.0097,0.02
260817_마그네슘 이벤트_캠페인,260817_마그네슘 이벤트_세트,260817_마그네슘 이벤트_트리플 혜택,27107,404,7,8,5,0,0,0,0.0,,0.0198,0.0
260817_마그네슘 이벤트_캠페인,260817_마그네슘 이벤트_세트,260817_마그네슘 이벤트_혜택 3개,43129,805,5,5,7,0,0,0,0.0,,0.0062,0.0
260817_마그네슘 이벤트_캠페인,260817_마그네슘 이벤트_세트,260817_마그네슘 이벤트_푹 자고싶다면,61553,980,18,16,17,0,0,0,0.0,,0.0163,0.0
260817_마그네슘 이벤트_캠페인,260817_마그네슘 이벤트_세트,260817_마그네슘 이벤트_단독특가 시작,232232,3378,45,43,35,7,3,253410,1.091,77411,0.0127,0.0698
260612_설문조사_캠페인,260612_설문조사_세트,260820_설문조사_카드뉴스,341630,4864,58,54,47,1,1,56440,0.165,341630,0.0111,0.0185
260612_설문조사_캠페인,260612_설문조사_세트,260820_설문조사_왜냐면,656501,19108,412,379,1332,4,1,97000,0.148,656501,0.0198,0.0026
260612_설문조사_캠페인,260612_설문조사_세트,260820_설문조사_그래프,184686,2528,42,40,40,0,0,0,0.0,,0.0158,0.0
260612_설문조사_캠페인,260612_설문조사_세트,260820_설문조사_서랍정리,562561,7927,144,138,127,4,0,0,0.0,,0.0174,0.0
260612_설문조사_캠페인,260612_설문조사_세트,260820_설문조사_싸그리다구리,868229,10109,274,264,234,13,5,326100,0.376,173646,0.0261,0.0189
251128_캠페인,251128_세트,260724_칼륨_딸,61309,928,24,23,22,0,0,0,0.0,,0.0248,0.0
251128_캠페인,251128_세트,260724_칼륨_입점,97011,1287,30,29,20,2,2,298000,3.072,48506,0.0225,0.069
251128_캠페인,251128_세트,260724_칼륨_검증,219993,3065,61,57,48,5,3,169450,0.77,73331,0.0186,0.0526
AI_AD,칼륨_테스트,260902_메커니즘_스틱콜아웃_v3,18578,349,2,2,2,0,0,0,0.0,,0.0057,0.0
AI_AD,칼륨_테스트,260902_등가_유산소3h_vs_칼륨1포_v3,17673,306,9,10,9,2,0,0,0.0,,0.0327,0.0
AI_AD,칼륨_테스트,260902_증거_리뷰카드_손발붓기_v2,12537,192,5,5,4,2,1,38400,3.063,12537,0.026,0.2
AI_AD,마그네슘_테스트,260902_mg_메커니즘_스틱콜아웃_v1,17635,304,3,3,200,0,0,0,0.0,,0.0099,0.0
AI_AD,마그네슘_테스트,260902_mg_등가_얼음물60분_vs_마그네주1포_v2,13814,285,11,9,8,3,1,153000,11.076,13814,0.0316,0.1111
AI_AD,마그네슘_테스트,260902_mg_증거_리뷰카드_운동후숙면_v1,10051,179,5,4,3,1,1,72000,7.163,10051,0.0223,0.25
AI_AD,칼륨_테스트,260903_증거_리뷰카드_붓기빠짐_v1,6608,155,2,2,2,1,1,65840,9.964,6608,0.0129,0.5
AI_AD,마그네슘_테스트,260903_mg_숙면_잠들기10초전_v1,1994,38,0,0,0,0,0,0,0.0,,0.0,
AI_AD,비타민B_테스트,260903_b_메커니즘_활력전환_v2,16496,286,5,5,4,0,0,0,0.0,,0.0175,0.0
AI_AD,비타민B_테스트,260903_b_등가_커피6000vs한포1900_v2,2493,53,0,0,0,0,0,0,0.0,,0.0,
AI_AD,비타민B_테스트,260903_b_루틴_오후3시_v2,9325,138,6,6,3,1,0,0,0.0,,0.0435,0.0
